file,dataset,config,seed,best_f1,epoch
IEMOCAP_final_seed1234_epoch150.put,IEMOCAP,final,1234,72.5224,87
IEMOCAP_final_seed2023_epoch150.put,IEMOCAP,final,2023,72.9635,124
IEMOCAP_final_seed2024_epoch150.put,IEMOCAP,final,2024,72.2087,114
IEMOCAP_final_seed2025_epoch150.put,IEMOCAP,final,2025,71.4289,86
IEMOCAP_final_seed2026_epoch150.put,IEMOCAP,final,2026,73.1335,82
IEMOCAP_final_seed2027_epoch150.put,IEMOCAP,final,2027,72.6686,95
IEMOCAP_final_seed3037_epoch150.put,IEMOCAP,final,3037,72.9367,106
IEMOCAP_final_seed42_epoch150.put,IEMOCAP,final,42,73.0622,134
IEMOCAP_final_seed6666_epoch150.put,IEMOCAP,final,6666,72.4292,71
MELD_cmcl0025_temp05_seed2023_epoch25.put,MELD,cmcl0025_temp05,2023,66.3881,14
MELD_cmcl0025_temp05_seed2024_epoch25.put,MELD,cmcl0025_temp05,2024,66.0643,16
MELD_cmcl0025_temp05_seed2025_epoch25.put,MELD,cmcl0025_temp05,2025,66.1572,20
MELD_cmcl0025_temp05_seed2026_epoch25.put,MELD,cmcl0025_temp05,2026,65.7604,19
MELD_cmcl0025_temp05_seed2027_epoch25.put,MELD,cmcl0025_temp05,2027,65.8148,15
MELD_cmcl0035_temp05_seed2023_epoch25.put,MELD,cmcl0035_temp05,2023,66.4994,14
MELD_cmcl0035_temp05_seed2024_epoch25.put,MELD,cmcl0035_temp05,2024,66.2091,16
MELD_cmcl0035_temp05_seed2025_epoch25.put,MELD,cmcl0035_temp05,2025,66.1311,20
MELD_cmcl0035_temp05_seed2026_epoch25.put,MELD,cmcl0035_temp05,2026,65.6753,19
MELD_cmcl0035_temp05_seed2027_epoch25.put,MELD,cmcl0035_temp05,2027,65.8127,12
MELD_cmcl003_temp05_seed2023_epoch25.put,MELD,cmcl003_temp05,2023,66.4909,14
MELD_cmcl003_temp05_seed2024_epoch25.put,MELD,cmcl003_temp05,2024,66.1781,16
MELD_cmcl003_temp05_seed2025_epoch25.put,MELD,cmcl003_temp05,2025,66.0553,20
MELD_cmcl003_temp05_seed2026_epoch25.put,MELD,cmcl003_temp05,2026,65.7278,19
MELD_cmcl003_temp05_seed2027_epoch25.put,MELD,cmcl003_temp05,2027,65.8881,15
MELD_noCMCL_ls005_seed2023_epoch25.put,MELD,noCMCL_ls005,2023,66.1603,14
MELD_noCMCL_ls005_seed2024_epoch25.put,MELD,noCMCL_ls005,2024,65.9305,11
MELD_noCMCL_ls005_seed2025_epoch25.put,MELD,noCMCL_ls005,2025,66.0697,14
MELD_noCMCL_ls005_seed2026_epoch25.put,MELD,noCMCL_ls005,2026,65.604,19
MELD_noCMCL_ls005_seed2027_epoch25.put,MELD,noCMCL_ls005,2027,65.869,15
